dGz100,Alter,Ho,species,rid
10,20,6.9,piab,2
10,25,9.0,piab,2
10,30,11.4,piab,2
10,35,13.9,piab,2
10,40,16.2,piab,2
10,45,18.3,piab,2
10,50,20.4,piab,2
10,55,22.2,piab,2
10,60,23.6,piab,2
10,65,25.0,piab,2
10,70,26.2,piab,2
10,75,27.2,piab,2
10,80,28.2,piab,2
10,85,29.1,piab,2
10,90,29.8,piab,2
10,95,30.6,piab,2
10,100,31.5,piab,2
10,105,32.1,piab,2
10,110,32.8,piab,2
10,115,33.4,piab,2
10,120,34.0,piab,2
10,125,34.5,piab,2
10,130,35.1,piab,2
14,15,7.6,piab,4
14,20,10.5,piab,4
14,25,13.3,piab,4
14,30,16.1,piab,4
14,35,18.9,piab,4
14,40,21.6,piab,4
14,45,23.9,piab,4
14,50,26.0,piab,4
14,55,27.6,piab,4
14,60,29.2,piab,4
14,65,30.4,piab,4
14,70,31.5,piab,4
14,75,32.6,piab,4
14,80,33.6,piab,4
14,85,34.5,piab,4
14,90,35.4,piab,4
14,95,36.3,piab,4
14,100,37.0,piab,4
14,105,37.7,piab,4
14,110,38.3,piab,4
14,115,39.0,piab,4
14,120,39.6,piab,4
14,125,40.1,piab,4
14,130,40.6,piab,4
15,15,8.1,piab,6
15,20,11.3,piab,6
15,25,14.2,piab,6
15,30,17.1,piab,6
15,35,20.0,piab,6
15,40,22.7,piab,6
15,45,25.1,piab,6
15,50,27.1,piab,6
15,55,28.8,piab,6
15,60,30.3,piab,6
15,65,31.5,piab,6
15,70,32.7,piab,6
15,75,33.8,piab,6
15,80,34.8,piab,6
15,85,35.8,piab,6
15,90,36.7,piab,6
15,95,37.5,piab,6
15,100,38.2,piab,6
15,105,38.9,piab,6
15,110,39.6,piab,6
15,115,40.2,piab,6
15,120,40.8,piab,6
15,125,41.3,piab,6
15,130,41.9,piab,6
10,20,6.9,piab,8
10,25,9.0,piab,8
10,30,11.4,piab,8
10,35,13.9,piab,8
10,40,16.2,piab,8
10,45,18.3,piab,8
10,50,20.4,piab,8
10,55,22.2,piab,8
10,60,23.6,piab,8
10,65,25.0,piab,8
10,70,26.2,piab,8
10,75,27.2,piab,8
10,80,28.2,piab,8
10,85,29.1,piab,8
10,90,29.8,piab,8
10,95,30.6,piab,8
10,100,31.5,piab,8
10,105,32.1,piab,8
10,110,32.8,piab,8
10,115,33.4,piab,8
10,120,34.0,piab,8
10,125,34.5,piab,8
10,130,35.1,piab,8
12,15,6.4,piab,10
12,20,8.9,piab,10
12,25,11.4,piab,10
12,30,14.0,piab,10
12,35,16.6,piab,10
12,40,19.1,piab,10
12,45,21.4,piab,10
12,50,23.4,piab,10
12,55,25.1,piab,10
12,60,26.6,piab,10
12,65,27.8,piab,10
12,70,29.0,piab,10
12,75,30.0,piab,10
12,80,31.0,piab,10
12,85,31.9,piab,10
12,90,32.8,piab,10
12,95,33.5,piab,10
12,100,34.3,piab,10
12,105,35.0,piab,10
12,110,35.7,piab,10
12,115,36.3,piab,10
12,120,36.9,piab,10
12,125,37.5,piab,10
12,130,38.0,piab,10
12,15,6.4,piab,12
12,20,8.9,piab,12
12,25,11.4,piab,12
12,30,14.0,piab,12
12,35,16.6,piab,12
12,40,19.1,piab,12
12,45,21.4,piab,12
12,50,23.4,piab,12
12,55,25.1,piab,12
12,60,26.6,piab,12
12,65,27.8,piab,12
12,70,29.0,piab,12
12,75,30.0,piab,12
12,80,31.0,piab,12
12,85,31.9,piab,12
12,90,32.8,piab,12
12,95,33.5,piab,12
12,100,34.3,piab,12
12,105,35.0,piab,12
12,110,35.7,piab,12
12,115,36.3,piab,12
12,120,36.9,piab,12
12,125,37.5,piab,12
12,130,38.0,piab,12
7,30,9.0,fasy,14
7,35,11.2,fasy,14
7,40,13.4,fasy,14
7,45,15.6,fasy,14
7,50,17.6,fasy,14
7,55,19.4,fasy,14
7,60,21.0,fasy,14
7,65,22.4,fasy,14
7,70,23.7,fasy,14
7,75,24.9,fasy,14
7,80,26.0,fasy,14
7,85,27.1,fasy,14
7,90,28.2,fasy,14
7,95,29.2,fasy,14
7,100,30.1,fasy,14
7,105,31.0,fasy,14
7,110,31.7,fasy,14
7,115,32.4,fasy,14
7,120,33.1,fasy,14
7,125,33.7,fasy,14
7,130,34.3,fasy,14
7,135,34.8,fasy,14
7,140,35.3,fasy,14
7,145,35.7,fasy,14
7,150,36.1,fasy,14
13,15,7.0,piab,18
13,20,9.8,piab,18
13,25,12.3,piab,18
13,30,15.1,piab,18
13,35,17.8,piab,18
13,40,20.4,piab,18
13,45,22.7,piab,18
13,50,24.7,piab,18
13,55,26.4,piab,18
13,60,27.9,piab,18
13,65,29.2,piab,18
13,70,30.3,piab,18
13,75,31.4,piab,18
13,80,32.4,piab,18
13,85,33.3,piab,18
13,90,34.1,piab,18
13,95,34.9,piab,18
13,100,35.7,piab,18
13,105,36.4,piab,18
13,110,37.1,piab,18
13,115,37.6,piab,18
13,120,38.2,piab,18
13,125,38.8,piab,18
13,130,39.4,piab,18
8,25,6.9,piab,20
8,30,8.8,piab,20
8,35,10.9,piab,20
8,40,13.0,piab,20
8,45,15.1,piab,20
8,50,16.9,piab,20
8,55,18.7,piab,20
8,60,20.3,piab,20
8,65,21.6,piab,20
8,70,22.8,piab,20
8,75,23.9,piab,20
8,80,24.9,piab,20
8,85,25.8,piab,20
8,90,26.7,piab,20
8,95,27.5,piab,20
8,100,28.2,piab,20
8,105,28.9,piab,20
8,110,29.6,piab,20
8,115,30.3,piab,20
8,120,30.9,piab,20
8,125,31.5,piab,20
8,130,32.1,piab,20
14,15,7.6,piab,22
14,20,10.5,piab,22
14,25,13.3,piab,22
14,30,16.1,piab,22
14,35,18.9,piab,22
14,40,21.6,piab,22
14,45,23.9,piab,22
14,50,26.0,piab,22
14,55,27.6,piab,22
14,60,29.2,piab,22
14,65,30.4,piab,22
14,70,31.5,piab,22
14,75,32.6,piab,22
14,80,33.6,piab,22
14,85,34.5,piab,22
14,90,35.4,piab,22
14,95,36.3,piab,22
14,100,37.0,piab,22
14,105,37.7,piab,22
14,110,38.3,piab,22
14,115,39.0,piab,22
14,120,39.6,piab,22
14,125,40.1,piab,22
14,130,40.6,piab,22
10,20,6.9,piab,24
10,25,9.0,piab,24
10,30,11.4,piab,24
10,35,13.9,piab,24
10,40,16.2,piab,24
10,45,18.3,piab,24
10,50,20.4,piab,24
10,55,22.2,piab,24
10,60,23.6,piab,24
10,65,25.0,piab,24
10,70,26.2,piab,24
10,75,27.2,piab,24
10,80,28.2,piab,24
10,85,29.1,piab,24
10,90,29.8,piab,24
10,95,30.6,piab,24
10,100,31.5,piab,24
10,105,32.1,piab,24
10,110,32.8,piab,24
10,115,33.4,piab,24
10,120,34.0,piab,24
10,125,34.5,piab,24
10,130,35.1,piab,24
13,15,7.0,piab,26
13,20,9.8,piab,26
13,25,12.3,piab,26
13,30,15.1,piab,26
13,35,17.8,piab,26
